"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"COLB","Columbia Banking System, Inc.","39.92","2879678780.64","n/a","1992","Finance","Major Banks","https://old.nasdaq.com/symbol/colb",
"CLBK","Columbia Financial, Inc.","16.88","1927096996.32","n/a","2018","Finance","Savings Institutions","https://old.nasdaq.com/symbol/clbk",
"COLM","Columbia Sportswear Company","95.59","6454810053.23","n/a","1998","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/colm",
"CMCO","Columbus McKinnon Corporation","39.33","931111988.85","n/a","1996","Capital Goods","Construction/Ag Equipment/Trucks","https://old.nasdaq.com/symbol/cmco",
"CMCSA","Comcast Corporation","47.5","216089387065","n/a","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/cmcsa",
"CBSH","Commerce Bancshares, Inc.","67.61","7618310755.96","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cbsh",
"CBSHP","Commerce Bancshares, Inc.","26.46","2424805089.84","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cbshp",
"CVGI","Commercial Vehicle Group, Inc.","6.07","190228828.67","n/a","2004","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/cvgi",
"COMM","CommScope Holding Company, Inc.","14.78","2870860800.26","n/a","2013","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/comm",
"JCS","Communications Systems, Inc.","6.5","60326649.5","n/a","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/jcs",
"ESXB","Community Bankers Trust Corporation.","9.45","211069633.95","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/esxb",
"CFBI","Community First Bancshares, Inc.","12.01","90769754.48","n/a","2017","Finance","Savings Institutions","https://old.nasdaq.com/symbol/cfbi",
"CTBI","Community Trust Bancorp, Inc.","45.85","815339179.2","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ctbi",
"CWBC","Community West Bancshares","11","93136593","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cwbc",
"CVLT","Commvault Systems, Inc.","45.56","2082610746.16","n/a","2006","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/cvlt",
"CGEN","Compugen Ltd.","6.12","381852871.2","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/cgen",
"CPSI","Computer Programs and Systems, Inc.","27.96","401384141.76","n/a","2002","Technology","EDP Services","https://old.nasdaq.com/symbol/cpsi",
"CTG","Computer Task Group, Incorporated","5.89","86584719.88","n/a","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/ctg",
"SCOR","comScore, Inc.","5.18","362768567.56","n/a","2018","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/scor",
"CHCI","Comstock Holding Companies, Inc.","2.23","17767134.75","n/a","2004","Capital Goods","Homebuilding","https://old.nasdaq.com/symbol/chci",
"CMTL","Comtech Telecommunications Corp.","36.26","884373205.24","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/cmtl",
"CNAT","Conatus Pharmaceuticals Inc.","0.4314","14309748.0918","n/a","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cnat",
"CNCE","Concert Pharmaceuticals, Inc.","10.42","248424835.1","n/a","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cnce",
"BBCP","Concrete Pumping Holdings, Inc. ","4.845","281977643.4","n/a","2017","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/bbcp",
"CDOR","Condor Hospitality Trust, Inc.","11.07","131956802.19","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cdor",
"CNDT","Conduent Incorporated","5.755","1216590310.5","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/cndt",
"CFMS","ConforMIS, Inc.","1.27","87264193.01","n/a","2015","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/cfms",
"CNFR","Conifer Holdings, Inc.","3.99","38259603.27","n/a","2015","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/cnfr",
"CNFRL","Conifer Holdings, Inc.","23","0","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/cnfrl",
"CNMD","CONMED Corporation","110.51","3136168041.93","n/a","1987","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/cnmd",
"CNOB","ConnectOne Bancorp, Inc.","25.5","1018540813.5","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cnob",
"CONN","Conn&#39;s, Inc.","10.375","297735991.875","n/a","2003","Consumer Services","Consumer Electronics/Video Chains","https://old.nasdaq.com/symbol/conn",
"CNSL","Consolidated Communications Holdings, Inc.","4.25","306316204.25","n/a","2005","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/cnsl",
"CWCO","Consolidated Water Co. Ltd.","16.725","251336175.15","n/a","n/a","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/cwco",
"CNST","Constellation Pharmaceuticals, Inc.","41","1058730536","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cnst",
"ROAD","Construction Partners, Inc.","17.42","902037997.9","n/a","2018","Basic Industries","Military/Government/Technical","https://old.nasdaq.com/symbol/road",
"CPSS","Consumer Portfolio Services, Inc.","3.47","78182285.46","n/a","1992","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/cpss",
"CFRX","ContraFect Corporation","1.04","159453493.68","n/a","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cfrx",
"CPAA","Conyers Park II Acquisition Corp.","10.6","596250000","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/cpaa",
"CPAAU","Conyers Park II Acquisition Corp.","11.13","0","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/cpaau",
"CPAAW","Conyers Park II Acquisition Corp.","1.76","0","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/cpaaw",
"CPRT","Copart, Inc.","97.12","22575952486.72","n/a","1994","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/cprt",
"CRBP","Corbus Pharmaceuticals Holdings, Inc.","7.01","453356979.93","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/crbp",
"CORT","Corcept Therapeutics Incorporated","12.9","1474221133.2","n/a","2004","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cort",
"CORE","Core-Mark Holding Company, Inc.","25.69","1170623269.06","n/a","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/core",
"CSOD","Cornerstone OnDemand, Inc.","63.84","3876201752.64","n/a","2011","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/csod",
"CORV","Correvio Pharma Corp.","0.3762","19006141.275","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/corv",
"CRTX","Cortexyme, Inc.","58.64","1574629603.12","n/a","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/crtx",
"CLDB","Cortland Bancorp","20.1999","88449766.7277","n/a","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/cldb",
"CRVL","CorVel Corp.","95.67","1748850948.45","n/a","n/a","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/crvl",
"CRVS","Corvus Pharmaceuticals, Inc.","5.7","175921380","n/a","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/crvs",
"CSGP","CoStar Group, Inc.","649.63","23799179458.88","n/a","1998","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/csgp",
"COST","Costco Wholesale Corporation","304.68","134594713794.36","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","https://old.nasdaq.com/symbol/cost",
"CPAH","CounterPath Corporation","2.64","16099050","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/cpah",
"ICBK","County Bancorp, Inc.","26.87","180778887.96","n/a","2015","Finance","Major Banks","https://old.nasdaq.com/symbol/icbk",
"COUP","Coupa Software Incorporated","169.43","10809401542.04","n/a","2016","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/coup",
"CVTI","Covenant Transportation Group, Inc.","14.02","258835866.04","n/a","1994","Transportation","Trucking Freight/Courier Services","https://old.nasdaq.com/symbol/cvti",
"CVET","Covetrus, Inc.","15.01","1682960346.08","n/a","n/a","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/cvet",
"COWN","Cowen Inc.","16.42","476415774.78","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/cown",
"COWNL","Cowen Inc.","27.4","0","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/cownl",
"COWNZ","Cowen Inc.","26.08","0","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/cownz",
"CPSH","CPS Technologies Corp.","1.02","13471584.72","n/a","n/a","Capital Goods","Building Materials","https://old.nasdaq.com/symbol/cpsh",
"CRAI","CRA International,Inc.","56.14","434490421.26","n/a","1998","Miscellaneous","Other Consumer Services","https://old.nasdaq.com/symbol/crai",
"CBRL","Cracker Barrel Old Country Store, Inc.","159.41","3822783313.25","n/a","1981","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/cbrl",
"BREW","Craft Brew Alliance, Inc.","16.42","319635726.48","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/brew",
"CREX","Creative Realities, Inc.","1.57","15346037.22","n/a","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/crex",
"CREXW","Creative Realities, Inc.","0.08","0","n/a","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/crexw",
"CACC","Credit Acceptance Corporation","450.78","8473200768.12","n/a","1992","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/cacc",
"DGLD","Credit Suisse AG","26.46","16643604.6","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/dgld",
"DSLV","Credit Suisse AG","15.69","23314335.84","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/dslv",
"GLDI","Credit Suisse AG","9.135","36004013.01","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/gldi",
"SLVO","Credit Suisse AG","7.09","20216376.37","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/slvo",
"TVIX","Credit Suisse AG","39.36","627330818.88","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/tvix",
"UGLD","Credit Suisse AG","150.88","206936899.04","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/ugld",
"USLV","Credit Suisse AG","93.24","340719006.6","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/uslv",
"USOI","Credit Suisse AG","20.7528","12455830.56","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/usoi",
"VIIX","Credit Suisse AG","28.21","18359660.41","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/viix",
"ZIV","Credit Suisse AG","77.64","72438120","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/ziv",
"CREE","Cree, Inc.","52.36","5639681043.92","n/a","1993","Technology","Semiconductors","https://old.nasdaq.com/symbol/cree",
"CRSA","Crescent Acquisition Corp","10.07","314687500","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/crsa",
"CRSAU","Crescent Acquisition Corp","10.45","0","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/crsau",
"CRSAW","Crescent Acquisition Corp","0.8","0","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/crsaw",
"CRESY","Cresud S.A.C.I.F. y A.","6.15","248079253.5","40338090","1997","Finance","Real Estate","https://old.nasdaq.com/symbol/cresy",
"CRNX","Crinetics Pharmaceuticals, Inc.","23.79","576248421.84","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/crnx",
"CRSP","CRISPR Therapeutics AG","58.33","3277799869.78","n/a","2016","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/crsp",
"CRTO","Criteo S.A.","14.02","897849141.9","64040595","2013","Technology","Advertising","https://old.nasdaq.com/symbol/crto",
"CROX","Crocs, Inc.","41.58","2852696773.08","n/a","2006","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/crox",
"CRON","Cronos Group Inc.","8.55","2982085894.8","n/a","n/a","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/cron",
"CCRN","Cross Country Healthcare, Inc.","10.58","390158892.76","n/a","2001","Technology","Professional Services","https://old.nasdaq.com/symbol/ccrn",
"CFB","CrossFirst Bankshares, Inc.","13.08","679757175.24","n/a","2019","Finance","Major Banks","https://old.nasdaq.com/symbol/cfb",
"CRWD","CrowdStrike Holdings, Inc.","63.45","13041822064.95","n/a","2019","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/crwd",
"CRWS","Crown Crafts, Inc.","6.36","64654914.12","n/a","n/a","Basic Industries","Textiles","https://old.nasdaq.com/symbol/crws",
"CYRX","CryoPort, Inc.","19.27","690704861.64","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cyrx",
"CYRXW","CryoPort, Inc.","15.85","0","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cyrxw",
"CSGS","CSG Systems International, Inc.","51.21","1687192774.29","n/a","1996","Technology","EDP Services","https://old.nasdaq.com/symbol/csgs",
"CCLP","CSI Compressco LP","2.37","111576113.73","n/a","2011","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/cclp",
"CSPI","CSP Inc.","13.3","55244768.6","n/a","1982","Technology","EDP Services","https://old.nasdaq.com/symbol/cspi",
"CSWI","CSW Industrials, Inc.","80","1203884080","n/a","n/a","Basic Industries","Home Furnishings","https://old.nasdaq.com/symbol/cswi",
"CSX","CSX Corporation","76.4","59412017796.8","n/a","n/a","Transportation","Railroads","https://old.nasdaq.com/symbol/csx",
"CTIC","CTI BioPharma Corp.","1.38","80010640.5","n/a","1997","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ctic",
"CTIB","CTI Industries Corporation","1.66","6367677","n/a","1997","Basic Industries","Specialty Chemicals","https://old.nasdaq.com/symbol/ctib",
"CUE","Cue Biopharma, Inc.","15.4","354109802.2","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cue",
"CUI","CUI Global, Inc.","1.31","37644731.16","n/a","n/a","Technology","Electronic Components","https://old.nasdaq.com/symbol/cui",
"CPIX","Cumberland Pharmaceuticals Inc.","5.1","77438109.3","n/a","2009","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cpix",
"CMLS","Cumulus Media Inc.","15.41","270550457.51","n/a","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/cmls",
"CRIS","Curis, Inc.","1.71","56776909.41","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/cris",
"CUTR","Cutera, Inc.","33.91","482657544.17","n/a","2004","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/cutr",
"CVBF","CVB Financial Corporation","21.76","3048727188.48","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cvbf",
"CVV","CVD Equipment Corporation","3.6679","24078171.6314","n/a","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/cvv",
"CYAN","Cyanotech Corporation","2.5312","14978403.8432","n/a","n/a","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/cyan",
"CYBR","CyberArk Software Ltd.","140","5303016320","n/a","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/cybr",
"CYBE","CyberOptics Corporation","24","171076776","n/a","1987","Capital Goods","Electronic Components","https://old.nasdaq.com/symbol/cybe",
"CYCC","Cyclacel Pharmaceuticals, Inc.","0.8","13759979.2","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cycc",
"CYCCP","Cyclacel Pharmaceuticals, Inc.","5.92","1984816.16","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cyccp",
"CYCN","Cyclerion Therapeutics, Inc.","3.24","88999248.96","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cycn",
"CBAY","CymaBay Therapeutics Inc.","2.02","138776106.86","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cbay",
"CY","Cypress Semiconductor Corporation","23.49","8705148271.11","n/a","1986","Technology","Semiconductors","https://old.nasdaq.com/symbol/cy",
"CYRN","CYREN Ltd.","1.28","75928820.48","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/cyrn",
"CONE","CyrusOne Inc","63.49","7186843626.34","n/a","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cone",
"CYTK","Cytokinetics, Incorporated","12.14","718214989.18","n/a","2004","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cytk",
"CTMX","CytomX Therapeutics, Inc.","7.46","338938863.44","n/a","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ctmx",
"CTSO","Cytosorbents Corporation","4.58","148500834.54","n/a","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/ctso",
"DJCO","Daily Journal Corp. (S.C.)","287.4","396826400.4","n/a","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/djco",
"DAKT","Daktronics, Inc.","6.19","279463328.31","n/a","1994","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/dakt",
"DARE","Dare Bioscience, Inc.","1.66","32674462.26","n/a","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/dare",
"DRIO","DarioHealth Corp.","8.27","18488817.23","n/a","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/drio",
"DRIOW","DarioHealth Corp.","0.0401","0","n/a","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/driow",
"DZSI","DASAN Zhone Solutions, Inc.","10.6","226717517","n/a","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/dzsi",
"DSKE","Daseke, Inc.","3.48","224769981","n/a","2015","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/dske",
"DSKEW","Daseke, Inc.","0.1383","0","n/a","2015","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/dskew",
"DAIO","Data I/O Corporation","4.16","34157277.44","n/a","1981","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/daio",
"DDOG","Datadog, Inc.","41.19","12185254258.38","n/a","2019","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddog",
"DTSS","Datasea Inc.","2","41887692","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/dtss",
"PLAY","Dave & Buster&#39;s Entertainment, Inc.","47.37","1448146991.01","n/a","2014","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/play",
"DTEA","DAVIDsTEA Inc.","1.6382","42723702.2884","n/a","2015","Consumer Non-Durables","Food Chains","https://old.nasdaq.com/symbol/dtea",
"DFNL","Davis Select Financial ETF","25.39","161226500","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dfnl",
"DINT","Davis Select International ETF","19.93","160436500","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dint",
"DUSA","Davis Select U.S. Equity ETF","26.66","223944000","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dusa",
"DWLD","Davis Select Worldwide ETF","26.2454","258517190","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwld",
"DWSN","Dawson Geophysical Company","2.45","56980887.25","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/dwsn",
"DBVT","DBV Technologies S.A.","12.67","374529178.38","29560314","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/dbvt",
"DDMX","DD3 Acquisition Corp.","10.21","73748872","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/ddmx",
"DDMXU","DD3 Acquisition Corp.","10.8","78010560","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/ddmxu",
"DDMXW","DD3 Acquisition Corp.","0.47","0","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/ddmxw",
"DCPH","Deciphera Pharmaceuticals, Inc.","69.4","3542447492.8","n/a","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/dcph",
"TACO","Del Taco Restaurants, Inc.","8.06","298697168.12","n/a","2014","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/taco",
"TACOW","Del Taco Restaurants, Inc.","0.1442","0","n/a","2014","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/tacow",
"DMPI","DelMar Pharmaceuticals, Inc.","0.63","7181811","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/dmpi",
"DNLI","Denali Therapeutics Inc.","22.36","2147258146.28","n/a","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/dnli",
"DENN","Denny&#39;s Corporation","21.35","1260903864.15","n/a","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/denn",
"XRAY","DENTSPLY SIRONA Inc.","59.96","13335924372.72","n/a","1987","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/xray",
"DERM","Dermira, Inc.","19.155","1047685885.575","n/a","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/derm",
"DMTK","DermTech, Inc.","11.41","136512993.89","n/a","2017","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/dmtk",
"DXLG","Destination XL Group, Inc.","1.2585","63363684.1545","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/dxlg",
"DSWL","Deswell Industries, Inc.","2.9588","47090009.1532","n/a","1995","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/dswl",
"DXCM","DexCom, Inc.","230.79","21123882824.52","n/a","2005","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/dxcm",
"DMAC","DiaMedica Therapeutics Inc.","4.4","52610245.6","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/dmac",
"DEAC","Diamond Eagle Acquisition Corp.","13.57","678500000","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/deac",
"DEACU","Diamond Eagle Acquisition Corp.","14.8","518000000","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/deacu",
"DEACW","Diamond Eagle Acquisition Corp.","3.9","0","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/deacw",
"DHIL","Diamond Hill Investment Group, Inc.","142.05","480719643.9","n/a","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/dhil",
"FANG","Diamondback Energy, Inc.","89.54","14366210200.32","n/a","2012","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/fang",
"DPHC","DiamondPeak Holdings Corp.","10.04","351400000","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/dphc",
"DPHCU","DiamondPeak Holdings Corp.","10.26","0","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/dphcu",
"DPHCW","DiamondPeak Holdings Corp.","0.832","0","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/dphcw",
"DRNA","Dicerna Pharmaceuticals, Inc.","21.355","1461345030.04","n/a","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/drna",
"DFFN","Diffusion Pharmaceuticals Inc.","0.505","16876251.095","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/dffn",
"DGII","Digi International Inc.","17.49","501346372.56","n/a","1989","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/dgii",
"DMRC","Digimarc Corporation","34.97","434608139.16","n/a","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/dmrc",
"DRAD","Digirad Corporation","2.91","5961842.13","n/a","2004","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/drad",
"DRADP","Digirad Corporation","5.5","0","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/dradp",
"DGLY","Digital Ally, Inc.","0.9486","11458229.517","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/dgly",
"APPS","Digital Turbine, Inc.","7.57","649616938.35","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/apps",
"DCOM","Dime Community Bancshares, Inc.","20.14","722154240.1","n/a","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/dcom",
"DIOD","Diodes Incorporated","58.95","3008924072.55","n/a","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/diod",
"DRTT","DIRTT Environmental Solutions Ltd.","3.1954","270590830.5256","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/drtt",
"DISCA","Discovery, Inc.","32.43","17036010268.26","n/a","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/disca",
"DISCB","Discovery, Inc.","36.7782","19320190960.4724","n/a","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/discb",
"DISCK","Discovery, Inc.","30.48","16011643323.36","n/a","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/disck",
"DISH","DISH Network Corporation","36.79","19250956360.74","n/a","1995","Consumer Services","Television Services","https://old.nasdaq.com/symbol/dish",
"DHC","Diversified Healthcare Trust ","8.37","1991214939.69","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/dhc",
"DHCNI","Diversified Healthcare Trust ","25.23","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/dhcni",
"DHCNL","Diversified Healthcare Trust ","26.85","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/dhcnl",
"SAUC","Diversified Restaurant Holdings, Inc.","1.045","34823747.2","n/a","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/sauc",
"DLHC","DLH Holdings Corp.","4.73","57251886.89","n/a","n/a","Technology","Professional Services","https://old.nasdaq.com/symbol/dlhc",
"BOOM","DMC Global Inc.","44.02","644706003.04","n/a","n/a","Capital Goods","Industrial Specialties","https://old.nasdaq.com/symbol/boom",
"DOCU","DocuSign, Inc.","72.53","13015879563.48","n/a","2018","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/docu",
"DOGZ","Dogness (International) Corporation","1.1802","30583267.3062","n/a","2017","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/dogz",
"DLTR","Dollar Tree, Inc.","91.55","21666434114.3","n/a","1995","Consumer Services","Department/Specialty Retail Stores","https://old.nasdaq.com/symbol/dltr",
